餐次,序号,食物名称,主要成分,食物编码,可食部 (克/份),价格 (元/份）,是否可半份,水分 (g/100g),能量 (kcal/100g),能量 (kJ/100g),蛋白质 (g/100g),脂肪 (g/100g),碳水化合物 (g/100g),不溶性膳食纤维 (g/100g),胆固醇 (mg/100g),灰分 (g/100g),总维生素A (μg/100g),胡萝卜素 (μg/100g),视黄醇 (μg/100g),硫胺素 (μg/100g),核黄素 (mg/100g),烟酸 (mg/100g),维生素C (mg/100g),钙 (mg/100g),磷 (mg/100g),钾 (mg/100g),钠 (mg/100g),镁 (mg/100g),铁 (mg/100g),锌 (mg/100g),硒 (mg/100g),铜 (mg/100g),锰 (mg/100g),异亮氨酸 (mg/100g),亮氨酸 (mg/100g),赖氨酸 (mg/100g),含硫氨基酸(SAA)_Total (mg/100g),含硫氨基酸(SAA)_蛋氨酸 (mg/100g),含硫氨基酸(SAA)_胱氨酸 (mg/100g),芳香族氨基酸(AAA)_Total (mg/100g),芳香族氨基酸(AAA)_苯丙氨酸 (mg/100g),芳香族氨基酸(AAA)_酪氨酸 (mg/100g),苏氨酸 (mg/100g),色氨酸 (mg/100g),缬氨酸 (mg/100g),精氨酸 (mg/100g),组氨酸 (mg/100g),丙氨酸 (mg/100g),天冬氨酸 (mg/100g),谷氨酸 (mg/100g),甘氨酸 (mg/100g),脯氨酸 (mg/100g),丝氨酸 (mg/100g)
早餐,1,牛奶,牛奶,101101x,200,1.5,0,87.6,65,271,3.3,3.6,4.9,0,17,0.7,54,0,54,0.03,0.12,0.11,0,107,90,180,63.7,11,0.3,0.28,1.34,0.01,0.01,146,291,230,92,70,22,254,140,114,132,54,178,94,78,94,229,639,54,289,166
早餐,2,酸奶,酸奶,103001,125,1.5,0,85.5,70,295,3.2,1.9,10,0,15,0.7,19,0,19,0.03,0.14,0.1,1,140,90,135,32.5,11,0.2,0.54,1.19,0.01,0.02,142,259,208,26,0,26,257,123,134,121,48,155,95,74,94,217,590,53,238,150
早餐,3,豆浆,黄豆,31101,10,1.5,0,10.2,390,1631,35,16,34.2,15.5,0,4.6,18,220,0,0.41,0.2,2.1,0,191,465,1503,2.2,199,8.2,3.34,6.16,1.35,2.26,1853,2819,2237,902,385,517,3013,1844,1169,1435,455,1726,2840,968,1542,3997,6258,1600,1863,1846
早餐,4,大米粥,稻米,012001x,15,0.5,0,13.3,346,1453,7.9,0.9,77.2,0.6,0,0.7,0,0,0,0.15,0.04,2,0,8,112,112,1.8,31,1.1,1.54,2.83,0.25,1.13,319,611,260,332,162,170,723,421,302,262,124,426,570,161,420,650,1250,305,324,360
早餐,5,小米粥,小米,15101,15,0.5,0,11.6,361,1511,9,3.1,75.1,1.6,0,1.2,8,100,0,0.33,0.1,1.5,0,41,229,284,4.3,107,5.1,1.87,4.74,0.54,0.89,392,1166,176,512,291,221,753,494,259,327,178,483,315,168,803,682,1871,245,658,408
早餐,6,大米饭,稻米,012001x,25,0.5,0,13.3,346,1453,7.9,0.9,77.2,0.6,0,0.7,0,0,0,0.15,0.04,2,0,8,112,112,1.8,31,1.1,1.54,2.83,0.25,1.13,319,611,260,332,162,170,723,421,302,262,124,426,570,161,420,650,1250,305,324,360
早餐,7,馒头,小麦粉,011201x,50,1,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,8,花卷,小麦粉,011201x,50,1,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,9,油条,小麦粉,011201x,50,1.5,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,9,油条,豆油,192004,10,1.5,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,10,煮鸡蛋,鸡蛋,111101x,50,1,0,75.2,139,581,13.1,8.6,2.4,0,648,0.9,255,0,216,0.09,0.2,0.2,0,56,130,154,131.5,10,1.6,0.89,13.96,0.19,0.03,649,1047,846,826,327,499,1146,652,495,588,187,636,743,266,658,1212,1593,394,343,905
早餐,11,煎鸡蛋,鸡蛋,111101x,50,1.5,0,75.2,139,581,13.1,8.6,2.4,0,648,0.9,255,0,216,0.09,0.2,0.2,0,56,130,154,131.5,10,1.6,0.89,13.96,0.19,0.03,649,1047,846,826,327,499,1146,652,495,588,187,636,743,266,658,1212,1593,394,343,905
早餐,11,煎鸡蛋,豆油,192004,10,1.5,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,12,蒸地瓜,地瓜,21205,100,1,0,83.4,61,260,0.7,0.2,15.3,0,0,0.4,63,750,0,0.05,0.01,0.2,4,18,26,88,70.9,17,0.2,0.16,0.22,0.05,0.08,0,0,0,0,15,0,0,0,0,0,19,56,56,21,46,172,95,37,52,0
早餐,13,南瓜粥,稻米,012001x,10,0.5,0,13.3,346,1453,7.9,0.9,77.2,0.6,0,0.7,0,0,0,0.15,0.04,2,0,8,112,112,1.8,31,1.1,1.54,2.83,0.25,1.13,319,611,260,332,162,170,723,421,302,262,124,426,570,161,420,650,1250,305,324,360
早餐,13,南瓜粥,南瓜,43213,20,0.5,0,93.5,23,97,0.7,0.1,5.3,0.8,0,0.4,74,890,0,0.03,0.04,0.4,8,16,24,145,0.8,8,0.4,0.14,0.46,0.03,0.08,19,21,25,12,5,7,39,17,22,19,10,26,29,11,38,81,105,22,18,23
早餐,14,馄饨,小麦粉,011201x,40,6,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,14,馄饨,猪肉瘦,081110x,25,6,0,71.2,153,641,20.7,7.8,0,0,64,1.1,0,0,0,0.31,0.1,5.3,0,2,141,305,54,23,1.1,2.2,8.32,0.06,0.03,796,1663,1710,717,496,221,1682,852,830,947,101,902,1325,767,1201,1932,3195,917,831,838
早餐,14,馄饨,豆油,192004,10,6,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,15,鸡排面,小麦粉,011201x,50,6,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,15,鸡排面,鸡肉,91112,40,6,0,71.7,118,499,24.6,1.9,0.6,0,65,1.2,3,0,3,0.07,0.06,11.96,0,1,170,333,44.8,28,1,0.26,11.75,0.01,0.01,930,1900,2020,980,730,250,1620,870,750,1080,300,1120,1560,870,1360,2260,3570,990,780,960
早餐,15,鸡排面,豆油,192004,5,6,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,16,馄饨面,小麦粉,011201x,50,6,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,16,馄饨面,猪肉瘦,081110x,15,6,0,71.2,153,641,20.7,7.8,0,0,64,1.1,0,0,0,0.31,0.1,5.3,0,2,141,305,54,23,1.1,2.2,8.32,0.06,0.03,796,1663,1710,717,496,221,1682,852,830,947,101,902,1325,767,1201,1932,3195,917,831,838
早餐,16,馄饨面,油菜,45125,40,6,0,95.6,14,57,1.3,0.5,2,0,0,0.9,90,1083,0,0.02,0.05,0.55,0,148,23,175,73.7,25,0.9,0.31,0.73,0.03,0.23,55,93,89,18,18,0,99,58,41,51,23,63,68,31,78,167,215,56,178,54
早餐,16,馄饨面,油菜,45125,40,6,0,95.6,14,57,1.3,0.5,2,0,0,0.9,90,1083,0,0.02,0.05,0.55,0,148,23,175,73.7,25,0.9,0.31,0.73,0.03,0.23,55,93,89,18,18,0,99,58,41,51,23,63,68,31,78,167,215,56,178,54
早餐,16,馄饨面,豆油,192004,10,6,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,17,包子,小麦粉,011201x,25,2,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,17,包子,猪肉,081111x,15,2,0,68.2,181,757,19,11.7,0.2,0,73,1,3,0,3,0.49,0.17,4.79,0,4,197,315,55.5,23,0.9,2.24,9.88,0.14,0.03,744,1502,1525,672,466,206,1474,757,717,802,163,798,1143,673,1048,1671,2759,848,687,718
早餐,17,包子,猪肉,081111x,15,2,0,68.2,181,757,19,11.7,0.2,0,73,1,3,0,3,0.49,0.17,4.79,0,4,197,315,55.5,23,0.9,2.24,9.88,0.14,0.03,744,1502,1525,672,466,206,1474,757,717,802,163,798,1143,673,1048,1671,2759,848,687,718
早餐,17,包子,白菜,045101x,30,2,0,94.4,20,82,1.6,0.2,3.4,0.9,0,0.7,7,80,0,0.05,0.04,0.65,37.5,57,33,134,68.9,12,0.8,0.46,0.57,0.06,0.19,36,55,51,32,12,20,70,44,26,41,11,53,57,20,66,105,369,40,42,49
早餐,17,包子,豆油,192004,5,2,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,18,馅饼,小麦粉,011201x,25,2,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,18,馅饼,牛肉,082101x,10,2,0,69.8,160,669,20,8.7,0.5,0,58,1.1,3,0,3,0.04,0.11,4.15,0,5,182,212,64.1,22,1.8,4.7,3.15,0.05,0.03,850,1563,1722,514,248,265,1460,789,671,893,125,936,1262,692,1152,1725,2832,988,754,790
早餐,18,馅饼,胡萝卜,41201,10,2,0,89.2,39,162,1,0.2,8.8,1.1,0,0.8,344,4130,0,0.04,0.03,0.6,13,32,27,190,71.4,14,1,0.23,0.63,0.08,0.24,38,50,47,41,19,22,48,29,19,34,10,54,42,14,57,126,230,31,31,39
早餐,18,馅饼,豆油,192004,10,2,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,19,鸡蛋饼,小麦粉,011201x,25,3,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,19,鸡蛋饼,鸡蛋,111101x,20,3,0,75.2,139,581,13.1,8.6,2.4,0,648,0.9,255,0,216,0.09,0.2,0.2,0,56,130,154,131.5,10,1.6,0.89,13.96,0.19,0.03,649,1047,846,826,327,499,1146,652,495,588,187,636,743,266,658,1212,1593,394,343,905
早餐,19,鸡蛋饼,火腿肠,81409,20,3,0,57.4,212,888,14,10.4,15.6,0,57,2.6,5,0,5,0.26,0.43,2.3,0,9,187,217,771.2,22,4.5,3.22,9.2,0.36,0.14,644,1096,1101,467,280,187,1132,588,544,601,212,688,890,560,775,1261,2065,665,399,513
早餐,19,鸡蛋饼,豆油,192004,5,3,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,20,土豆丝饼,小麦粉,011201x,20,2.5,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,20,土豆丝饼,土豆,"021101
021104",50,2.5,0,78.6,81,343,2.6,0.2,17.8,1.1,0,0.8,1,6,0,0.1,0.02,1.1,14,7,46,347,5.9,24,0.4,0.3,0.47,0.09,0.1,0,0,0,0,24,0,0,0,0,0,29,87,71,27,60,356,270,52,49,0
早餐,20,土豆丝饼,鸡蛋,111101x,20,2.5,0,75.2,139,581,13.1,8.6,2.4,0,648,0.9,255,0,216,0.09,0.2,0.2,0,56,130,154,131.5,10,1.6,0.89,13.96,0.19,0.03,649,1047,846,826,327,499,1146,652,495,588,187,636,743,266,658,1212,1593,394,343,905
早餐,20,土豆丝饼,豆油,192004,5,2.5,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,21,水煎包,小麦粉,011201x,20,2,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,21,水煎包,猪肉,081111x,20,2,0,68.2,181,757,19,11.7,0.2,0,73,1,3,0,3,0.49,0.17,4.79,0,4,197,315,55.5,23,0.9,2.24,9.88,0.14,0.03,744,1502,1525,672,466,206,1474,757,717,802,163,798,1143,673,1048,1671,2759,848,687,718
早餐,21,水煎包,猪肉,081111x,20,2,0,68.2,181,757,19,11.7,0.2,0,73,1,3,0,3,0.49,0.17,4.79,0,4,197,315,55.5,23,0.9,2.24,9.88,0.14,0.03,744,1502,1525,672,466,206,1474,757,717,802,163,798,1143,673,1048,1671,2759,848,687,718
早餐,21,水煎包,豆油,192004,10,2,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,22,水饺,小麦粉,011201x,50,8,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,22,水饺,猪肉,081111x,20,8,0,68.2,181,757,19,11.7,0.2,0,73,1,3,0,3,0.49,0.17,4.79,0,4,197,315,55.5,23,0.9,2.24,9.88,0.14,0.03,744,1502,1525,672,466,206,1474,757,717,802,163,798,1143,673,1048,1671,2759,848,687,718
早餐,22,水饺,猪肉,081111x,20,8,0,68.2,181,757,19,11.7,0.2,0,73,1,3,0,3,0.49,0.17,4.79,0,4,197,315,55.5,23,0.9,2.24,9.88,0.14,0.03,744,1502,1525,672,466,206,1474,757,717,802,163,798,1143,673,1048,1671,2759,848,687,718
早餐,22,水饺,芹菜,45331,40,8,0,95.4,13,55,0.4,0.2,3.1,1,0,0.9,2,18,0,0.01,0.02,0.22,2,15,13,128,166.4,16,0.2,0.14,0.07,0.03,0.04,30,48,42,15,6,9,56,30,26,31,12,50,30,14,34,125,118,33,34,30
早餐,22,水饺,豆油,192004,10,8,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,23,韭菜盒子,小麦粉,011201x,20,2,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,23,韭菜盒子,韭菜,44404,40,2,0,92,25,102,2.4,0.4,4.5,0,0,0.7,133,1596,0,0.04,0.05,0.86,2,44,45,241,5.8,24,0.7,0.25,1.33,0.05,0.21,88,158,120,48,21,27,150,94,56,82,28,82,90,30,128,172,302,100,91,87
早餐,23,韭菜盒子,鸡蛋,111101x,20,2,0,75.2,139,581,13.1,8.6,2.4,0,648,0.9,255,0,216,0.09,0.2,0.2,0,56,130,154,131.5,10,1.6,0.89,13.96,0.19,0.03,649,1047,846,826,327,499,1146,652,495,588,187,636,743,266,658,1212,1593,394,343,905
早餐,23,韭菜盒子,豆油,192004,10,2,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,24,拌菠菜,菠菜,45301,100,2,1,91.2,28,116,2.6,0.3,4.5,1.7,0,1.4,243,2920,0,0.04,0.11,0.6,32,66,47,311,85.2,58,2.9,0.85,0.97,0.1,0.66,100,182,147,36,18,18,192,108,84,114,36,120,134,56,134,225,333,135,101,102
早餐,24,拌菠菜,芝麻油,192017,2,2,1,0.1,898,3757,0,99.7,0.2,0,0,0,0,0,0,0,0,0,0,9,4,0,1.1,3,2.2,0.17,0,0.05,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,25,拌海带丝,海带,52004,100,2,1,94.1,16,65,1.1,0.1,3,0.9,0,1.7,26,310,0,0.02,0.1,0.9,0,241,29,222,107.6,61,3.3,0.66,4.9,0.03,1.47,64,79,64,49,49,0,77,44,33,40,7,57,66,13,68,88,122,65,58,44
早餐,25,拌海带丝,芝麻油,192017,2,2,1,0.1,898,3757,0,99.7,0.2,0,0,0,0,0,0,0,0,0,0,9,4,0,1.1,3,2.2,0.17,0,0.05,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,26,拌豆腐,豆腐,031301x,150,2,1,10.2,390,1631,35,16,34.2,15.5,0,4.6,18,220,0,0.41,0.2,2.1,0,191,465,1503,2.2,199,8.2,3.34,6.16,1.35,2.26,265,511,394,180,87,93,576,335,241,256,93,296,487,161,280,770,1259,264,320,358
早餐,26,拌豆腐,豆油,192004,3,2,1,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,27,拌干豆腐,干豆腐,31509,100,2,1,52,262,1096,24.5,16,5.5,1,0,2,3,30,0,0.04,0.05,0.2,0,313,309,94,20.6,80,6.4,2.52,1.75,0.46,1.96,1031,1719,1389,603,248,355,2119,1241,878,830,0,1067,1566,599,888,2227,3713,858,1060,1152
早餐,27,拌干豆腐,豆油,192004,3,2,1,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,28,拌土豆丝,土豆,"021101
021104",100,2,1,78.6,81,343,2.6,0.2,17.8,1.1,0,0.8,1,6,0,0.1,0.02,1.1,14,7,46,347,5.9,24,0.4,0.3,0.47,0.09,0.1,0,0,0,0,24,0,0,0,0,0,29,87,71,27,60,356,270,52,49,0
早餐,28,拌土豆丝,豆油,192004,3,2,1,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,29,拌木耳,木耳,51014,100,2,1,91.8,27,112,1.5,0.2,6,2.6,0,0.5,2,20,0,0.01,0.05,0.2,1,34,12,52,8.5,57,5.5,0.53,0.46,0.04,0.97,63,0,0,29,0,29,90,54,36,63,19,58,69,32,82,118,133,58,50,58
早餐,29,拌木耳,芝麻油,192017,2,2,1,0.1,898,3757,0,99.7,0.2,0,0,0,0,0,0,0,0,0,0,9,4,0,1.1,3,2.2,0.17,0,0.05,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,31,拌芹菜花生米,芹菜,45331,100,3,1,95.4,13,55,0.4,0.2,3.1,1,0,0.9,2,18,0,0.01,0.02,0.22,2,15,13,128,166.4,16,0.2,0.14,0.07,0.03,0.04,30,48,42,15,6,9,56,30,26,31,12,50,30,14,34,125,118,33,34,30
早餐,31,拌芹菜花生米,花生米,72004,20,3,1,6.9,574,2400,24.8,44.3,21.7,5.5,0,2.3,3,30,0,0.72,0.13,17.9,2,39,324,587,3.6,178,2.1,2.5,3.94,0.95,1.25,829,1600,860,588,265,323,2087,1209,878,620,229,967,2827,526,980,2719,4614,1314,926,1106
早餐,31,拌芹菜花生米,芝麻油,192017,2,3,1,0.1,898,3757,0,99.7,0.2,0,0,0,0,0,0,0,0,0,0,9,4,0,1.1,3,2.2,0.17,0,0.05,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,32,苹果,苹果,061101x,100,1,0,86.1,53,227,0.4,0.2,13.7,1.7,0,0.2,4,50,0,0.02,0.02,0.2,3,4,7,83,1.3,4,0.3,0.04,0.1,0.07,0.03,12,15,15,17,5,12,32,17,15,11,11,21,9,5,14,68,30,12,11,14
早餐,33,橙子,橙,64101,100,1,0,87.4,48,202,0.8,0.2,11.1,0.6,0,0.5,13,160,0,0.05,0.04,0.3,33,20,22,159,1.2,14,0.4,0.14,0.31,0.03,0.05,17,26,28,14,6,8,31,17,14,15,3,20,66,9,23,91,51,18,93,23
早餐,34,葡萄,葡萄,063101x,100,1,0,88.5,45,185,0.4,0.3,10.3,1,0,0.3,3,40,0,0.03,0.02,0.25,4,9,13,127,1.9,7,0.4,0.16,0.11,0.18,0.04,8,11,13,15,7,8,24,14,10,13,6,13,38,8,18,20,46,11,11,13
午餐,1,大米饭,稻米,012001x,25,0.5,0,13.3,346,1453,7.9,0.9,77.2,0.6,0,0.7,0,0,0,0.15,0.04,2,0,8,112,112,1.8,31,1.1,1.54,2.83,0.25,1.13,319,611,260,332,162,170,723,421,302,262,124,426,570,161,420,650,1250,305,324,360
